date,amount,category,note,type,account,payment_type
2022-09-01,-10.0,Groceries,,Expenses,Cash,CASH
2022-09-01,-18.0,Groceries,,Expenses,Cash,CASH
2022-09-01,-22.0,Food & Drinks,,Expenses,Cash,CASH
2022-09-01,-34.0,Groceries,,Expenses,Cash,CASH
2022-09-01,-50.0,Groceries,,Expenses,Cash,CASH
2022-09-01,-18.0,Food & Drinks,,Expenses,Cash,CASH
2022-09-01,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2022-09-01,-19.0,Food & Drinks,,Expenses,Cash,CASH
2022-09-01,-22.0,Food & Drinks,,Expenses,Cash,CASH
2022-09-01,-22.0,"Bar, cafe",,Expenses,Cash,CASH
2022-09-01,-3.0,Food & Drinks,,Expenses,Cash,CASH
2022-09-01,-23.0,Food & Drinks,,Expenses,Cash,CASH
2022-09-01,-64.0,Fuel,,Expenses,Cash,CASH
2022-09-28,-80.0,"Charity, gifts",,Expenses,Cash,CASH
2022-10-05,-35.0,Food & Drinks,,Expenses,Cash,CASH
2022-10-07,-40.0,Food & Drinks,,Expenses,Cash,CASH
2022-10-08,-35.0,Food & Drinks,,Expenses,Cash,CASH
2022-10-08,-10.0,Food & Drinks,,Expenses,Cash,CASH
2022-10-08,-50.0,Food & Drinks,,Expenses,Cash,CASH
2022-10-08,-28.0,"Bar, cafe",,Expenses,Cash,CASH
2022-10-09,-71.0,Missing,,Expenses,Cash,CASH
2022-10-09,-35.0,Food & Drinks,,Expenses,Cash,CASH
2022-10-09,-197.0,Missing,,Expenses,Cash,CASH
2022-10-11,-25.0,Food & Drinks,,Expenses,Cash,CASH
2022-10-12,-197.0,Groceries,,Expenses,Cash,CASH
2022-10-12,-530.0,Vehicle maintenance,,Expenses,Cash,CASH
2022-10-18,-40.0,"Wellness, beauty",,Expenses,Cash,CASH
2022-10-23,-25.0,Food & Drinks,,Expenses,Cash,CASH
2022-10-23,-175.0,"Charity, gifts",,Expenses,Cash,CASH
2022-10-24,-35.0,"Electronics, accessories",,Expenses,Cash,CASH
2022-10-24,-35.0,"Electronics, accessories",,Expenses,Cash,CASH
2022-10-25,-35.0,"Pets, animals",,Expenses,Cash,CASH
2022-10-25,-1385.0,"Electronics, accessories",Pixel 7,Expenses,Cash,CASH
2022-10-25,-40.0,"Wellness, beauty",,Expenses,Cash,CASH
2022-10-25,-60.0,"Phone, cell phone",,Expenses,Cash,CASH
2022-10-25,-35.0,Groceries,,Expenses,Cash,CASH
2022-10-28,-125.0,Vehicle maintenance,,Expenses,Cash,CASH
2022-10-30,-10.0,Groceries,,Expenses,Cash,CASH
2022-11-01,-80.0,"Energy, utilities",,Expenses,Cash,CASH
2022-11-01,-40.0,Fuel,,Expenses,Cash,CASH
2022-11-01,-23.0,"Phone, cell phone",,Expenses,Cash,CASH
2022-11-01,-550.0,Rent,,Expenses,Cash,CASH
2022-11-01,-10.0,Groceries,,Expenses,Cash,CASH
2022-11-01,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2022-11-01,-120.0,"Books, audio, subscription",,Expenses,Cash,CASH
2022-11-03,-12.0,Food & Drinks,,Expenses,Cash,CASH
2022-11-03,-12.0,Food & Drinks,,Expenses,Cash,CASH
2022-11-03,-32.0,Food & Drinks,,Expenses,Cash,CASH
2022-11-04,-30.0,Food & Drinks,,Expenses,Cash,CASH
2022-11-05,-40.0,Food & Drinks,,Expenses,Cash,CASH
2022-11-10,-97.5,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-10,-143.0,"Holiday, trips, hotels",Cash from Tobacco,Expenses,Cash,CASH
2022-11-10,-244.5,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-11,-27.5,"Holiday, trips, hotels",Food,Expenses,Cash,CASH
2022-11-12,-110.0,"Holiday, trips, hotels",Salt Mine,Expenses,Cash,CASH
2022-11-12,-44.0,"Holiday, trips, hotels",Food,Expenses,Cash,CASH
2022-11-12,-2.5,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-12,-12.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-12,-100.5,"Holiday, trips, hotels",Food,Expenses,Cash,CASH
2022-11-12,-27.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-12,-7.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-12,-11.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-14,-5.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-14,-9.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-14,-8.5,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-14,-29.0,Clothes & shoes,,Expenses,Cash,CASH
2022-11-14,-82.0,"Books, audio, subscription",Vinyl,Expenses,Cash,CASH
2022-11-14,-82.0,Clothes & shoes,,Expenses,Cash,CASH
2022-11-14,-30.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-15,-5.5,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-15,-7.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-15,-10.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-15,-29.5,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-15,-7.5,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-16,-2.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-16,-5.5,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-16,-4.5,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-11-17,-18.0,Food & Drinks,,Expenses,Cash,CASH
2022-11-17,-25.0,Food & Drinks,,Expenses,Cash,CASH
2022-11-18,-160.0,Groceries,,Expenses,Cash,CASH
2022-11-18,-184.0,Clothes & shoes,,Expenses,Cash,CASH
2022-11-19,-10.0,Food & Drinks,,Expenses,Cash,CASH
2022-11-19,-22.0,Groceries,,Expenses,Cash,CASH
2022-11-19,-20.0,Fuel,,Expenses,Cash,CASH
2022-11-21,-73.0,Fuel,,Expenses,Cash,CASH
2022-11-21,-20.0,Fuel,,Expenses,Cash,CASH
2022-11-22,-70.0,"Home, garden",,Expenses,Cash,CASH
2022-11-26,-78.0,"Pets, animals",,Expenses,Cash,CASH
2022-11-26,-24.0,"Bar, cafe",,Expenses,Cash,CASH
2022-11-26,-15.0,Food & Drinks,,Expenses,Cash,CASH
2022-11-26,-170.0,"Books, audio, subscription",,Expenses,Cash,CASH
2022-11-26,-140.0,Clothes & shoes,,Expenses,Cash,CASH
2022-11-27,-12.0,Food & Drinks,,Expenses,Cash,CASH
2022-11-27,-16.0,"Charity, gifts",,Expenses,Cash,CASH
2022-12-01,-550.0,Rent,,Expenses,Cash,CASH
2022-12-01,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2022-12-01,-180.0,"Energy, utilities",,Expenses,Cash,CASH
2022-12-03,-75.0,Fuel,,Expenses,Cash,CASH
2022-12-04,-10.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-04,-10.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-04,-20.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-04,-10.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-04,-10.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-06,-37.0,"Phone, cell phone",,Expenses,Cash,CASH
2022-12-06,-150.0,Groceries,,Expenses,Cash,CASH
2022-12-07,-16.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-10,-30.0,"Phone, cell phone",,Expenses,Cash,CASH
2022-12-10,-148.0,Missing,,Expenses,Cash,CASH
2022-12-10,-10.0,Groceries,,Expenses,Cash,CASH
2022-12-10,-20.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-11,-40.0,Groceries,,Expenses,Cash,CASH
2022-12-13,-118.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2022-12-16,-32.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-17,-70.0,Fuel,,Expenses,Cash,CASH
2022-12-18,-20.0,"Charity, gifts",,Expenses,Cash,CASH
2022-12-18,-20.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-18,-40.0,Groceries,,Expenses,Cash,CASH
2022-12-20,-53.0,Fuel,,Expenses,Cash,CASH
2022-12-20,-190.0,"Charity, gifts",,Expenses,Cash,CASH
2022-12-21,-40.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-22,-20.0,Groceries,,Expenses,Cash,CASH
2022-12-23,-30.0,"Charity, gifts",,Expenses,Cash,CASH
2022-12-29,-30.0,Food & Drinks,,Expenses,Cash,CASH
2022-12-29,-50.0,Groceries,,Expenses,Cash,CASH
2022-12-29,-117.0,Fuel,,Expenses,Cash,CASH
2022-12-29,-60.0,"Charity, gifts",,Expenses,Cash,CASH
2022-12-29,-100.0,"Active sport, fitness",,Expenses,Cash,CASH
2023-01-01,-120.0,"Energy, utilities",,Expenses,Cash,CASH
2023-01-01,-550.0,Rent,,Expenses,Cash,CASH
2023-01-02,-26.0,"Holiday, trips, hotels",,Expenses,Cash,CASH
2023-01-02,-50.0,"Drug-store, chemist",,Expenses,Cash,CASH
2023-01-03,-140.0,"Books, audio, subscription",,Expenses,Cash,CASH
2023-01-03,-20.0,"Alcohol, tobacco",,Expenses,Cash,CASH
2023-01-05,-10.0,"Software, apps, games",,Expenses,Cash,CASH
2023-01-07,-180.0,"Charity, gifts",,Expenses,Cash,CASH
2023-01-08,-65.0,"Active sport, fitness",pluvane gear,Expenses,Cash,CASH
2023-01-09,-64.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-10,-30.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-10,-40.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-13,-15.0,Food & Drinks,,Expenses,Cash,CASH
2023-01-14,-25.0,"Bar, cafe",,Expenses,Cash,CASH
